chemical,protein,label
176870,ENSP00000277865,0
3385,ENSP00000264381,0
5420,ENSP00000357461,0
5280360,ENSP00000315011,1
4055,ENSP00000330284,0
996,ENSP00000264498,0
6337614,ENSP00000250416,0
10517,ENSP00000394624,1
753,ENSP00000385638,1
4980,ENSP00000303709,0
801,ENSP00000362401,0
187,ENSP00000276651,0
5278,ENSP00000341682,0
657378,ENSP00000389103,0
9800339,ENSP00000373674,0
3238,ENSP00000328173,0
75919,ENSP00000380247,1
681,ENSP00000354859,1
5052,ENSP00000414019,0
10607,ENSP00000199280,0
1117,ENSP00000362773,1
11301,ENSP00000259271,0
134018,ENSP00000299518,0
4976,ENSP00000389414,0
16197727,ENSP00000451605,1
4534,ENSP00000293860,0
35370,ENSP00000295897,1
5486827,ENSP00000360687,0
3387,ENSP00000363822,1
3016,ENSP00000339503,0
444033,ENSP00000231509,1
1593,ENSP00000322924,0
124087,ENSP00000319730,0
5287844,ENSP00000277120,1
444,ENSP00000327801,0
439260,ENSP00000349003,1
3007,ENSP00000418447,0
5462501,ENSP00000290866,1
1117,ENSP00000258145,1
3016,ENSP00000348897,1
5610,ENSP00000358223,0
18794,ENSP00000337746,0
5282280,ENSP00000386884,1
155346,ENSP00000360317,0
3310,ENSP00000295101,0
392622,ENSP00000231751,0
119058,ENSP00000322788,0
2538,ENSP00000263464,0
3241,ENSP00000274793,0
1051,ENSP00000254663,1
94701,ENSP00000353720,0
1662,ENSP00000342385,0
10133,ENSP00000258400,0
5163,ENSP00000265729,0
4984,ENSP00000260443,1
23930,ENSP00000261783,1
298,ENSP00000281806,1
3440,ENSP00000329374,1
2909,ENSP00000280346,0
64627,ENSP00000308549,1
4636,ENSP00000332887,0
2249,ENSP00000302811,0
2801,ENSP00000293860,0
18794,ENSP00000264595,0
114854,ENSP00000292147,0
60961,ENSP00000303424,1
298,ENSP00000322924,1
1219,ENSP00000367848,0
122335,ENSP00000256958,0
3494,ENSP00000376177,0
5038,ENSP00000360406,0
4673492,ENSP00000299565,0
64715,ENSP00000372750,0
1210,ENSP00000299727,0
5281881,ENSP00000302227,0
5572,ENSP00000219919,0
3672,ENSP00000354612,1
1546,ENSP00000351885,0
5515,ENSP00000262340,0
3107,ENSP00000363046,0
5464105,ENSP00000305692,0
6675,ENSP00000369519,0
119574,ENSP00000353915,1
65243,ENSP00000353731,0
20469,ENSP00000261465,0
443119,ENSP00000235382,0
5011,ENSP00000347754,1
753,ENSP00000384408,1
3696,ENSP00000367959,1
2968,ENSP00000316244,0
3086685,ENSP00000356070,0
5073,ENSP00000354677,0
312,ENSP00000370376,1
5485199,ENSP00000225430,0
36811,ENSP00000245816,0
122220,ENSP00000005178,0
3008,ENSP00000222481,0
44668,ENSP00000272928,0
5288209,ENSP00000360519,1
446156,ENSP00000287936,1
4917,ENSP00000419027,0
26644,ENSP00000377947,0
6422124,ENSP00000226279,0
838,ENSP00000272928,1
16362,ENSP00000282276,0
9270,ENSP00000206249,1
1204,ENSP00000231948,0
132387,ENSP00000273430,1
312,ENSP00000337450,1
4735,ENSP00000270142,0
3158,ENSP00000349467,0
444020,ENSP00000368439,0
114866,ENSP00000360635,0
1573,ENSP00000297261,0
5139,ENSP00000351908,0
3016,ENSP00000410732,1
311,ENSP00000321070,0
15,ENSP00000369816,1
2729,ENSP00000266682,0
440120,ENSP00000282841,0
5280453,ENSP00000331103,0
3937,ENSP00000290866,1
5562,ENSP00000362649,1
5544,ENSP00000302441,0
3086671,ENSP00000261326,0
4980,ENSP00000358770,0
13342,ENSP00000392709,0
6010,ENSP00000264161,0
5284596,ENSP00000341658,0
72968,ENSP00000262340,0
3350,ENSP00000410732,0
951,ENSP00000265572,1
4865,ENSP00000363988,0
11243969,ENSP00000357986,0
441314,ENSP00000329684,0
5311018,ENSP00000358814,0
47936,ENSP00000361642,0
5203,ENSP00000377192,0
3825,ENSP00000348831,0
3404,ENSP00000218721,0
4236,ENSP00000340523,0
2724385,ENSP00000360777,0
2267,ENSP00000338072,0
6741,ENSP00000368552,0
6013,ENSP00000268053,1
1795,ENSP00000412237,0
934,ENSP00000331831,1
119,ENSP00000359353,1
1220,ENSP00000307766,1
16134896,ENSP00000273062,0
5360515,ENSP00000368066,0
5324345,ENSP00000260118,0
191,ENSP00000339377,1
444,ENSP00000250378,0
3198,ENSP00000003100,1
298,ENSP00000216714,0
2750,ENSP00000378323,0
3455,ENSP00000344456,0
5095,ENSP00000227507,0
68760,ENSP00000219054,0
596,ENSP00000381607,0
3295,ENSP00000342889,0
47811,ENSP00000280155,1
23994,ENSP00000370254,1
4919,ENSP00000286621,0
643976,ENSP00000355046,1
5567,ENSP00000313691,0
213023,ENSP00000289575,0
191,ENSP00000299766,1
5381226,ENSP00000299529,0
9826744,ENSP00000302898,0
122296,ENSP00000380247,0
5280360,ENSP00000218721,1
5350,ENSP00000318585,0
4422,ENSP00000318912,0
1440,ENSP00000371929,0
171548,ENSP00000284562,0
158,ENSP00000258042,1
312,ENSP00000360968,1
4429,ENSP00000312673,0
1117,ENSP00000452780,1
152945,ENSP00000355523,0
4976,ENSP00000376177,0
4422,ENSP00000321656,0
5095,ENSP00000373169,1
1979,ENSP00000255380,1
208908,ENSP00000386069,0
5487,ENSP00000269159,0
941651,ENSP00000241256,0
2381,ENSP00000255380,1
160,ENSP00000311291,1
934,ENSP00000304283,1
26721,ENSP00000221859,0
51683,ENSP00000285949,0
22258,ENSP00000306512,0
124886,ENSP00000216951,1
394347,ENSP00000389414,0
